NET_INCOME,OP_PROFIT_LOSS,OP_REVENUES,OP_EXPENSES,INCOME_PRE_TAX,INCOME_TAX,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER_NAME,REGION,YEAR,QUARTER
-712607,-746208,1876026,2622234,-879867,-167260,FX,Federal Express Corporation,Federal Express Corporation,A,2023,2
-664116,-815268,1812034,2627302,-687582,-23466,FX,Federal Express Corporation,Federal Express Corporation,A,2023,3
-651886,-655370,1920594,2575964,-704701,-52815,FX,Federal Express Corporation,Federal Express Corporation,A,2023,4
-441253.89,-470334.63,1563516.03,2033850.66,-506497.03,-65243.14,B6,JetBlue Airways,JetBlue Airways,D,2023,3
-340954,-452214,1307316,1759530,-427322,-86368,FX,Federal Express Corporation,Federal Express Corporation,P,2023,4
-298791,-618862,1960869,2579731,-374008,-75217,FX,Federal Express Corporation,Federal Express Corporation,A,2023,1
-294047.62,-294047.62,1169433.32,1463480.94,-294047.62,0,AA,American Airlines Inc.,American Airlines Inc.,A,2023,1
-288914.6,-288914.6,1590649.17,1879563.77,-288914.6,0,AA,American Airlines Inc.,American Airlines Inc.,A,2023,4
-269884,-319553,1293038,1612591,-330195,-60311,FX,Federal Express Corporation,Federal Express Corporation,P,2023,3
-266784.57,-266784.57,2372463.87,2639248.44,-266784.57,0,AA,American Airlines Inc.,American Airlines Inc.,A,2023,3
-258801.65,-234102.19,7166684.19,7400786.38,-340538.61,-81736.96,UA,United Air Lines Inc.,United Air Lines Inc.,D,2023,1
-246235,-394802,6663456,7058258,-279529,-33294,WN,Southwest Airlines Co.,Southwest Airlines Co.,D,2023,4
-233930.65,-295070.82,1688688.19,1983759.01,-324928.57,-90997.92,B6,JetBlue Airways,JetBlue Airways,D,2023,1
-218184.76,31995.27,9166566.02,9134570.75,-325028.27,-106843.51,AA,American Airlines Inc.,American Airlines Inc.,D,2023,3
-185853,437900,9553721,9115821,-288589,-102736,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,D,2023,1
-171422.84,-188732.95,1108406.03,1297138.98,-200177.86,-28755.02,5X,United Parcel Service,United Parcel Service,D,2023,4
-161797.28,-189249.97,1164470.54,1353720.51,-201109.27,-39311.99,NK,Spirit Air Lines,Spirit Air Lines,D,2023,4
-153850,-274205,5504766,5778971,-197150,-43300,WN,Southwest Airlines Co.,Southwest Airlines Co.,D,2023,1
-153549.9,-219473.99,971188.95,1190662.94,-223947.04,-70397.14,5X,United Parcel Service,United Parcel Service,D,2023,3
-150004.32,-151480.6,16665.94,168146.54,-152974.52,-2970.2,HA,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.,P,2023,3
-144284.3,-202249.47,1221470.75,1423720.22,-212454.12,-68169.82,5X,United Parcel Service,United Parcel Service,D,2023,1
-138721.03,-133100.8,1832488.01,1965588.81,-182695.39,-43974.37,UA,United Air Lines Inc.,United Air Lines Inc.,A,2023,1
-136596.97,-163654.12,1091156.48,1254810.59,-176559.18,-39962.2,NK,Spirit Air Lines,Spirit Air Lines,D,2023,3
-134439.12,-134090.48,332364.73,466455.21,-133928.63,510.49,5Y,Atlas Air Inc.,Atlas Air Inc.,D,2023,1
-125149.82,-140771.45,485229.31,626000.76,-146536.26,-21386.44,HA,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.,D,2023,1
-123079,-12145,1489919,1502064,-141626,-18547,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,A,2023,1
-119567,-121535,2067664,2189198,-160772,-41204,AS,Alaska Airlines Inc.,Alaska Airlines Inc.,D,2023,1
-113386,-208492,1316056,1524548,-192218,-78832,FX,Federal Express Corporation,Federal Express Corporation,P,2023,1
-112099.33,-58663.79,1679150.31,1737814.09,-118926.79,-6827.46,B6,JetBlue Airways,JetBlue Airways,D,2023,4
-102056.73,-130756.26,1082000.98,1212757.24,-140969.77,-38913.04,5X,United Parcel Service,United Parcel Service,D,2023,2
-101340,-245597,1295999,1541596,-187471,-86131,FX,Federal Express Corporation,Federal Express Corporation,P,2023,2
-100168,-90197.24,361819.41,452016.65,-91509.55,8658.45,5Y,Atlas Air Inc.,Atlas Air Inc.,D,2023,2
-99670.48,-107336.67,506402.7,613739.38,-118976.31,-19305.83,HA,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.,D,2023,4
-92595,-92434,348563,440997,-123707,-31112,FX,Federal Express Corporation,Federal Express Corporation,L,2023,3
-90765,-93591,339027,432618,-116918,-26153,FX,Federal Express Corporation,Federal Express Corporation,L,2023,4
-90506.64,-97896.7,1175653.34,1273550.03,-123375.39,-32868.75,NK,Spirit Air Lines,Spirit Air Lines,D,2023,1
-89175.51,-89330.76,143826.04,233156.8,-89175.51,0,9E,Endeavor Air Inc.,Endeavor Air Inc.,D,2023,1
-85584.19,-87176.94,135872.16,223049.09,-85584.19,0,9E,Endeavor Air Inc.,Endeavor Air Inc.,D,2023,2
-83882.43,5627.38,839170.1,833542.72,13721.71,97604.14,F9,Frontier Airlines Inc.,Frontier Airlines Inc.,D,2023,4
-81494.79,-81882.13,137737.43,219619.56,-81494.79,0,9E,Endeavor Air Inc.,Endeavor Air Inc.,D,2023,3
-80714.28,-81753.38,139841.55,221594.93,-80714.28,0,9E,Endeavor Air Inc.,Endeavor Air Inc.,D,2023,4
-77875.92,-77875.92,315643.55,393519.47,-77875.92,0,AA,American Airlines Inc.,American Airlines Inc.,P,2023,4
-76480,-107080,354290,461370,-116212,-39732,FX,Federal Express Corporation,Federal Express Corporation,L,2023,2
-74171,-80155,342377,422532,-112688,-38517,FX,Federal Express Corporation,Federal Express Corporation,L,2023,1
-64298.35,-64298.35,306619.08,370917.43,-64298.35,0,AA,American Airlines Inc.,American Airlines Inc.,P,2023,3
-52031,47819,2390654,2342835,14043,66074,AS,Alaska Airlines Inc.,Alaska Airlines Inc.,D,2023,4
-50205.64,-49839.18,97112.01,146951.18,-50205.64,0,MX,Breeze Aviation Group DBA  Breeze,Breeze Aviation Group DBA  Breeze,D,2023,3
-50176.05,-59559.69,564214.28,623773.96,-60915.85,-10739.79,OO,SkyWest Airlines Inc.,SkyWest Airlines Inc.,D,2023,1
-47861.61,-47961.13,67377.61,115338.74,-47861.61,0,MX,Breeze Aviation Group DBA  Breeze,Breeze Aviation Group DBA  Breeze,D,2023,1
-43791.12,1853.66,106621.64,104767.97,-43791.12,0,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,D,2023,4
-43110.93,-36012.15,56865.57,92877.73,-43163.1,-52.17,KD,Western Global,Western Global,I,2023,3
-40824.85,-19993.67,37661.7,57655.37,-34078.69,-42.1,KD,Western Global,Western Global,I,2023,1
-37667.21,-4517.97,103912.28,108430.25,-37667.21,0,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,D,2023,2
-35413.3,-31306.06,120878.83,152184.89,-35413.3,0,MX,Breeze Aviation Group DBA  Breeze,Breeze Aviation Group DBA  Breeze,D,2023,4
-29178.25,-28946.14,64336.05,93282.19,-29178.25,0,N8,National Air Cargo Group Inc d/ba National Airlines,National Air Cargo Group Inc d/ba National Airline,I,2023,1
-28030.91,-28004.59,99875.24,127879.82,-28030.91,0,MX,Breeze Aviation Group DBA  Breeze,Breeze Aviation Group DBA  Breeze,D,2023,2
-27399.63,8433.1,1516253.1,1507820,-35074.06,-7674.43,UA,United Air Lines Inc.,United Air Lines Inc.,P,2023,4
-26829.73,-46738.73,817836.91,864575.65,-37649.7,-10819.97,F9,Frontier Airlines Inc.,Frontier Airlines Inc.,D,2023,3
-25732.35,-25732.35,264569.46,290301.81,-25732.35,0,AA,American Airlines Inc.,American Airlines Inc.,P,2023,1
-24545.58,2448.25,113384.82,110936.57,-24545.58,0,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,D,2023,1
-24329.18,-9999.45,57084.57,67084.02,-24329.18,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Easte",D,2023,4
-23648.47,-24638.94,54660.25,79299.19,-28448.92,-4800.45,ABX,ABX Air Inc,ABX Air Inc,D,2023,4
-21854.57,-25562.71,157289.44,182852.15,-27164.59,-5310.02,NK,Spirit Air Lines,Spirit Air Lines,L,2023,4
-20981.81,-17507.37,62145.55,79652.93,-20981.81,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Easte",D,2023,2
-20954.32,-25104.96,167386.17,192491.13,-27084.63,-6130.3,NK,Spirit Air Lines,Spirit Air Lines,L,2023,3
-20255.87,-40562.45,601174.44,641736.89,-26039.91,-5784.04,OO,SkyWest Airlines Inc.,SkyWest Airlines Inc.,D,2023,4
-20210.44,-30215.14,581610.38,611825.52,-32611.83,-12401.39,OO,SkyWest Airlines Inc.,SkyWest Airlines Inc.,D,2023,2
